bloco	clone	rend
B1	c0101	1.092
B1	c0103	1.508
B1	c0418	1.138
B1	c0425	1.358
B1	c0605	1.444
B1	c0619	1.856
B1	c0623	0.969
B1	c0906	0.225
B1	c0918	1.025
B1	c0927	0.631
B1	c1021	1.119
B1	c1024	0.056
B1	c1025	0.988
B1	c1026	1.325
B1	c1027	0.142
B1	c1101	2.138
B1	c1318	0.563
B1	c1501	1.294
B1	c1504	1.856
B1	c1606	1.544
B1	c1610	1.258
B1	c1623	1.756
B1	c1625	1.458
B1	c1641	0.794
B1	c1647	1.144
B1	c1712	1.392
B1	c1718	1.819
B1	c1805	0.406
B1	c1807	0.525
B1	c1808	0.588
B1	c1809	0.475
B1	c1901	0.758
B1	c1923	1.544
B1	c1931	0.919
B1	c2003	1.769
B1	c2004	1.456
B1	c2006	1.244
B1	c2007	0.825
B1	c2401	1.219
B1	c2402	1.708
B1	c2403	0.792
B1	c2404	1.225
B1	c2405	1.144
B1	c2406	1.258
B1	c2407	1.042
B1	c2408	1.831
B1	c2410	2.019
B1	c2411	1.558
B1	c2412	0.981
B1	c2413	0.775
B1	c2414	0.758
B1	c2415	0.842
B1	c2416	1.119
B1	c2417	1.138
B1	c2418	0.992
B1	c2419	1.269
B1	c2420	1.608
B1	c2421	1.494
B1	c2501	0.192
B1	c2502	0.475
B1	c2503	0.394
B1	c2504	0.825
B1	c2505	0.358
B1	c2506	0.558
B1	c2507	0.625
B1	c2508	0.492
B1	c2509	0.458
B1	c2510	1.158
B1	c2511	0.438
B1	c2512	0.442
B1	c2513	0.994
B1	c2514	0.725
B1	c2515	0.369
B1	c2516	0.331
B1	c2517	0.619
B1	c2518	1.208
B1	c2519	1.092
B1	c2520	0.525
B1	c3113	0.942
B1	c3115	0.744
B1	c3118	0.842
B1	c3232	0.681
B1	c3242	0.194
B1	c3329	1.492
B1	c3330	0.831
B1	c3412	0.519
B1	c3422	0.875
B1	c3506	0.825
B1	c3507	0.756
B1	c3608	0.619
B1	c3611	1.342
B1	c3622	2.925
B1	c3810	1.494
B1	c3811	1.481
B1	c3817	1.525
B1	c3826	1.519
B1	c3829	2.225
B1	c3912	0.692
B1	c3932	0.588
B1	c3975	0.706
B1	c3982	1.094
B1	c4058	1.158
B1	c4071	0.692
B1	c4101	0.419
B1	c4102	0.842
B1	c4104	1.375
B1	c4105	0.844
B1	c4106	1.975
B1	c4107	1.069
B1	c4108	0.625
B1	c4109	1.292
B1	c4124	0.558
B1	c4204	1.058
B1	c4209	1.508
B1	c4215	0.994
B1	c4217	0.813
B1	c4220	1.825
B1	c4227	1.231
B1	c4231	1.108
B1	c4236	0.331
B1	c4301	0.125
B1	c4302	0.492
B1	c4303	0.188
B1	c4304	0.275
B1	c4305	0.269
B1	c4306	0.231
B1	c4401	0.194
B1	c4402	0.392
B1	c4403	0.344
B1	c4404	0.231
B1	c4405	0.569
B1	c4406	1.225
B1	c4502	1.619
B1	c4503	0.592
B1	c4504	0.675
B1	c4505	0.442
B1	c4506	0.219
B1	c4601	0.725
B1	c4602	1.025
B1	c4603	1.294
B1	c4604	1.413
B1	c4605	2.119
B1	c4606	0.575
B1	c4701	0.269
B1	c4702	0.492
B1	c4703	0.492
B1	c4704	0.731
B1	c4705	0.269
B1	c4706	0.169
B1	c4707	0.094
B1	c5001	0.942
B1	c5101	0.725
B1	c5102	1.031
B1	c5103	0.344
B1	c5104	1.169
B1	c5105	0.992
B1	c5106	0.319
B1	c5107	1.569
B1	c5108	0.294
B1	c5109	0.969
B1	c5110	0.508
B1	c5111	0.308
B1	c5112	0.508
B1	c5113	0.438
B1	c5114	0.763
B1	c5201	0.558
B1	c5202	0.325
B1	c5203	0.808
B1	c5204	0.594
B1	c5205	0.342
B1	c5206	0.542
B1	c5207	0.692
B1	c5208	0.425
B1	c5209	0.525
B1	c5210	1.394
B1	c5211	1.225
B1	c5212	0.958
B1	c5213	0.975
B1	c5214	0.294
B1	c5215	0.892
B1	c5216	0.625
B1	c5217	0.144
B1	c5218	0.581
B1	c5219	0.692
B1	c5220	1.058
B1	c5315	0.419
B1	c5316	0.181
B1	c5317	0.658
B1	c5318	0.781
B1	c5319	0.475
B1	c5320	0.475
B1	c5401	0.892
B1	c5403	1.644
B1	c5410	1.013
B1	c5411	0.442
B1	c5417	0.892
B2	c0101	1.625
B2	c0103	2.192
B2	c0418	1.169
B2	c0425	1.358
B2	c0605	1.219
B2	c0619	0.858
B2	c0623	1.288
B2	c0906	1.158
B2	c0918	1.392
B2	c0927	0.488
B2	c1021	0.825
B2	c1024	0.069
B2	c1025	1.258
B2	c1026	1.494
B2	c1027	0.158
B2	c1101	1.794
B2	c1318	2.588
B2	c1501	0.958
B2	c1504	1.669
B2	c1606	1.125
B2	c1610	1.569
B2	c1623	1.994
B2	c1625	1.419
B2	c1641	1.294
B2	c1647	1.392
B2	c1712	1.294
B2	c1718	1.225
B2	c1805	1.425
B2	c1807	1.219
B2	c1808	1.358
B2	c1809	0.669
B2	c1901	2.642
B2	c1923	0.994
B2	c1931	1.519
B2	c2003	1.558
B2	c2004	1.092
B2	c2006	1.025
B2	c2007	1.592
B2	c2401	1.758
B2	c2402	1.794
B2	c2403	0.592
B2	c2404	1.494
B2	c2405	1.392
B2	c2406	0.858
B2	c2407	1.158
B2	c2408	0.694
B2	c2410	1.169
B2	c2411	1.392
B2	c2412	0.992
B2	c2413	0.925
B2	c2414	0.492
B2	c2415	1.292
B2	c2416	0.988
B2	c2417	0.558
B2	c2418	1.558
B2	c2419	1.538
B2	c2420	1.294
B2	c2421	0.992
B2	c2501	0.294
B2	c2502	0.958
B2	c2503	0.319
B2	c2504	0.992
B2	c2505	0.544
B2	c2506	1.058
B2	c2507	0.492
B2	c2508	0.669
B2	c2509	0.719
B2	c2510	0.558
B2	c2511	0.292
B2	c2512	0.458
B2	c2513	0.469
B2	c2514	0.458
B2	c2515	0.494
B2	c2516	0.592
B2	c2517	0.725
B2	c2518	0.425
B2	c2519	0.488
B2	c2520	1.058
B2	c3113	1.119
B2	c3115	0.619
B2	c3118	1.094
B2	c3232	0.794
B2	c3242	0.592
B2	c3329	2.692
B2	c3330	0.925
B2	c3412	1.194
B2	c3422	1.469
B2	c3506	0.658
B2	c3507	0.725
B2	c3608	1.625
B2	c3611	1.558
B2	c3622	1.125
B2	c3810	2.058
B2	c3811	1.492
B2	c3817	2.492
B2	c3826	1.658
B2	c3829	1.558
B2	c3912	1.344
B2	c3932	0.794
B2	c3975	1.058
B2	c3982	0.992
B2	c4058	0.925
B2	c4071	1.169
B2	c4101	0.469
B2	c4102	0.494
B2	c4104	1.944
B2	c4105	1.258
B2	c4106	1.969
B2	c4107	1.058
B2	c4108	1.269
B2	c4109	0.744
B2	c4124	2.458
B2	c4204	0.669
B2	c4209	0.492
B2	c4215	1.344
B2	c4217	1.219
B2	c4220	1.244
B2	c4227	2.119
B2	c4231	1.925
B2	c4236	1.919
B2	c4301	0.344
B2	c4302	0.158
B2	c4303	0.294
B2	c4304	0.569
B2	c4305	0.358
B2	c4306	0.158
B2	c4401	0.144
B2	c4402	0.458
B2	c4403	0.894
B2	c4404	1.169
B2	c4405	0.619
B2	c4406	0.658
B2	c4502	0.425
B2	c4503	0.694
B2	c4504	0.758
B2	c4505	0.458
B2	c4506	1.192
B2	c4601	0.492
B2	c4602	0.544
B2	c4603	0.558
B2	c4604	1.025
B2	c4605	1.825
B2	c4606	1.858
B2	c4701	0.294
B2	c4702	0.219
B2	c4703	0.269
B2	c4704	0.794
B2	c4705	0.392
B2	c4706	0.358
B2	c4707	0.569
B2	c5001	1.819
B2	c5101	0.492
B2	c5102	0.792
B2	c5103	0.644
B2	c5104	0.792
B2	c5105	0.494
B2	c5106	0.392
B2	c5107	2.058
B2	c5108	0.344
B2	c5109	1.058
B2	c5110	0.619
B2	c5111	0.658
B2	c5112	1.025
B2	c5113	0.592
B2	c5114	0.792
B2	c5201	1.369
B2	c5202	0.425
B2	c5203	0.858
B2	c5204	0.825
B2	c5205	0.744
B2	c5206	0.392
B2	c5207	0.619
B2	c5208	0.725
B2	c5209	0.269
B2	c5210	1.094
B2	c5211	0.725
B2	c5212	0.625
B2	c5213	0.758
B2	c5214	0.692
B2	c5215	0.692
B2	c5216	0.525
B2	c5217	0.158
B2	c5218	0.619
B2	c5219	0.844
B2	c5220	1.258
B2	c5315	0.369
B2	c5316	0.458
B2	c5317	1.125
B2	c5318	0.392
B2	c5319	0.769
B2	c5320	1.458
B2	c5401	0.825
B2	c5403	2.092
B2	c5410	1.025
B2	c5411	0.558
B2	c5417	0.592
B3	c0101	1.988
B3	c0103	2.792
B3	c0418	3.425
B3	c0425	1.192
B3	c0605	2.158
B3	c0619	1.825
B3	c0623	2.044
B3	c0906	2.238
B3	c0918	2.858
B3	c0927	0.958
B3	c1021	1.558
B3	c1024	0.319
B3	c1025	1.719
B3	c1026	1.325
B3	c1027	0.192
B3	c1101	1.692
B3	c1318	1.844
B3	c1501	2.194
B3	c1504	1.594
B3	c1606	2.292
B3	c1610	2.425
B3	c1623	2.058
B3	c1625	2.192
B3	c1641	1.258
B3	c1647	1.369
B3	c1712	1.919
B3	c1718	1.669
B3	c1805	1.892
B3	c1807	1.944
B3	c1808	1.744
B3	c1809	1.025
B3	c1901	2.258
B3	c1923	1.469
B3	c1931	1.669
B3	c2003	1.569
B3	c2004	1.592
B3	c2006	2.194
B3	c2007	1.292
B3	c2401	1.658
B3	c2402	2.258
B3	c2403	0.858
B3	c2404	1.725
B3	c2405	2.358
B3	c2406	2.858
B3	c2407	2.169
B3	c2408	1.058
B3	c2410	1.358
B3	c2411	1.425
B3	c2412	2.144
B3	c2413	1.892
B3	c2414	0.994
B3	c2415	1.344
B3	c2416	1.358
B3	c2417	1.319
B3	c2418	1.558
B3	c2419	0.992
B3	c2420	1.625
B3	c2421	1.492
B3	c2501	0.925
B3	c2502	0.838
B3	c2503	0.294
B3	c2504	0.992
B3	c2505	1.225
B3	c2506	0.825
B3	c2507	0.538
B3	c2508	1.158
B3	c2509	1.058
B3	c2510	0.438
B3	c2511	0.292
B3	c2512	0.358
B3	c2513	0.758
B3	c2514	1.492
B3	c2515	1.225
B3	c2516	0.994
B3	c2517	1.269
B3	c2518	1.758
B3	c2519	0.458
B3	c2520	1.258
B3	c3113	2.658
B3	c3115	2.319
B3	c3118	0.725
B3	c3232	1.292
B3	c3242	1.344
B3	c3329	2.025
B3	c3330	1.558
B3	c3412	1.494
B3	c3422	0.944
B3	c3506	1.125
B3	c3507	1.725
B3	c3608	1.719
B3	c3611	1.769
B3	c3622	1.244
B3	c3810	2.358
B3	c3811	2.325
B3	c3817	1.958
B3	c3826	1.519
B3	c3829	2.294
B3	c3912	0.594
B3	c3932	1.492
B3	c3975	0.369
B3	c3982	1.119
B3	c4058	2.025
B3	c4071	0
B3	c4101	1.019
B3	c4102	0.744
B3	c4104	2.792
B3	c4105	2.392
B3	c4106	1.819
B3	c4107	1.044
B3	c4108	1.292
B3	c4109	1.992
B3	c4124	2.225
B3	c4204	1.394
B3	c4209	1.492
B3	c4215	1.319
B3	c4217	2.019
B3	c4220	1.544
B3	c4227	3.558
B3	c4231	2.019
B3	c4236	2.019
B3	c4301	0.592
B3	c4302	0.738
B3	c4303	1.058
B3	c4304	1.358
B3	c4305	0.669
B3	c4306	0.758
B3	c4401	2.119
B3	c4402	0.869
B3	c4403	1.194
B3	c4404	1.044
B3	c4405	0.869
B3	c4406	0.919
B3	c4502	1.725
B3	c4503	1.169
B3	c4504	1.225
B3	c4505	0.588
B3	c4506	0.492
B3	c4601	1.158
B3	c4602	1.569
B3	c4603	1.458
B3	c4604	2.088
B3	c4605	1.825
B3	c4606	1.719
B3	c4701	0.625
B3	c4702	0.925
B3	c4703	0.825
B3	c4704	1.425
B3	c4705	0.425
B3	c4706	0.758
B3	c4707	0.394
B3	c5001	1.619
B3	c5101	0.758
B3	c5102	0.694
B3	c5103	1.019
B3	c5104	0.988
B3	c5105	1.169
B3	c5106	0.369
B3	c5107	2.869
B3	c5108	0.392
B3	c5109	1.058
B3	c5110	0.725
B3	c5111	1.069
B3	c5112	1.292
B3	c5113	1.019
B3	c5114	1.388
B3	c5201	0.992
B3	c5202	1.858
B3	c5203	1.644
B3	c5204	1.169
B3	c5205	1.992
B3	c5206	1.358
B3	c5207	1.292
B3	c5208	1.058
B3	c5209	0.819
B3	c5210	1.369
B3	c5211	1.758
B3	c5212	1.058
B3	c5213	0.558
B3	c5214	0.658
B3	c5215	2.094
B3	c5216	1.819
B3	c5217	0.544
B3	c5218	1.144
B3	c5219	2.338
B3	c5220	1.194
B3	c5315	1.025
B3	c5316	0.619
B3	c5317	1.588
B3	c5318	0.788
B3	c5319	0.869
B3	c5320	0.369
B3	c5401	1.058
B3	c5403	2.392
B3	c5410	1.925
B3	c5411	0.669
B3	c5417	1.719
B4	c0101	1.325
B4	c0103	2.408
B4	c0418	2.094
B4	c0425	1.558
B4	c0605	1.608
B4	c0619	1.738
B4	c0623	1.669
B4	c0906	1.769
B4	c0918	1.392
B4	c0927	0.892
B4	c1021	1.194
B4	c1024	0.069
B4	c1025	2.069
B4	c1026	1.544
B4	c1027	0.144
B4	c1101	2.158
B4	c1318	1.192
B4	c1501	1.694
B4	c1504	2.592
B4	c1606	2.125
B4	c1610	1.969
B4	c1623	1.592
B4	c1625	2.475
B4	c1641	2.358
B4	c1647	1.094
B4	c1712	1.894
B4	c1718	3
B4	c1805	1.625
B4	c1807	2.292
B4	c1808	2.025
B4	c1809	1.125
B4	c1901	1.025
B4	c1923	2.094
B4	c1931	2.108
B4	c2003	1.492
B4	c2004	2.092
B4	c2006	2.125
B4	c2007	1.858
B4	c2401	2.369
B4	c2402	1.719
B4	c2403	0.838
B4	c2404	1.025
B4	c2405	2.419
B4	c2406	2.225
B4	c2407	1.756
B4	c2408	2.242
B4	c2410	2.388
B4	c2411	2.163
B4	c2412	1.642
B4	c2413	1.558
B4	c2414	0.756
B4	c2415	1.225
B4	c2416	1.725
B4	c2417	1.158
B4	c2418	1.288
B4	c2419	0.894
B4	c2420	2.119
B4	c2421	1.119
B4	c2501	0.444
B4	c2502	1.188
B4	c2503	0.992
B4	c2504	0.792
B4	c2505	1.317
B4	c2506	1.444
B4	c2507	0.731
B4	c2508	1.194
B4	c2509	0.892
B4	c2510	1.669
B4	c2511	0.319
B4	c2512	0.608
B4	c2513	0.538
B4	c2514	1.456
B4	c2515	3.925
B4	c2516	0.392
B4	c2517	0.794
B4	c2518	1.025
B4	c2519	0.725
B4	c2520	0.958
B4	c3113	1.869
B4	c3115	1.669
B4	c3118	0.969
B4	c3232	1.225
B4	c3242	1.094
B4	c3329	1.119
B4	c3330	1.269
B4	c3412	1.325
B4	c3422	1.844
B4	c3506	1.592
B4	c3507	1.725
B4	c3608	0.792
B4	c3611	1.706
B4	c3622	1.594
